Building ID,Max Height,Min Height,Avg Height,Stddev Height,Num Points,Avg Height Diff,Difference,Frequency
v0.1-NLD.9.4_1-31606,16.78700066,13.97900009,14.80127239,1.136512995,22,-1.886527061,-15,2
v0.1-NLD.9.4_1-9455,16.77099991,16.17900085,16.31257439,0.172159776,21,0.226774216,-13,1
v0.1-NLD.9.4_1-8828,16.85199928,16.84900093,16.85050011,0.001499176,4,0.17140007,-11,6
v0.1-NLD.9.4_1-10235,16.6989994,13.01399994,13.68934822,1.23429966,23,-1.567051888,-9,2
v0.1-NLD.9.4_1-58353,16.38500023,11.88399982,14.51896381,1.294759989,80,-0.72333622,-7,16
v0.1-NLD.9.4_1-53252,13.01000023,9.583000183,11.48313046,1.134897351,69,-0.225669861,-5,67
v0.1-NLD.9.4_1-142291,16.93199921,12.51599979,14.06826591,1.505807996,210,-0.690434456,-3,296
v0.1-NLD.9.4_1-126294,13.95100021,9.552000046,11.29321289,1.449351072,245,-0.412187576,-1,927
v0.1-NLD.9.4_1-111923,16.94599915,12.54199982,14.25293255,1.459679723,238,-0.484767914,1,9267
v0.1-NLD.9.4_1-149604,13.40999985,12.4659996,12.57434559,0.116409399,78,0.331245422,3,784
v0.1-NLD.9.4_1-39819,2.801000118,2.719000101,2.754724264,0.018481862,29,0.235574245,5,290
v0.1-NLD.9.4_1-165538,2.819000006,2.737999916,2.774605989,0.020622041,33,0.210536003,7,177
v0.1-NLD.9.4_1-126960,13.86800003,10,12.60329056,0.332969785,193,0.280290604,9,129
v0.1-NLD.9.4_1-79804,13.81299973,11.79399967,12.8311348,0.401603967,275,0.612534523,11,109
v0.1-NLD.9.4_1-82428,11.74300003,0.643999994,4.611999989,3.576365232,58,2.090919971,13,84
v0.1-NLD.9.4_1-142425,16.75699997,2.789999962,8.159765244,5.532862186,64,5.47337532,15,42
v0.1-NLD.9.4_1-98017,4.980000019,2.586999893,2.748833418,0.541459441,18,0.266613483,inf,30
v0.1-NLD.9.4_1-120835,16.54500008,11.06499958,15.08323383,0.994327664,179,-0.215366364,,
v0.1-NLD.9.4_1-127625,2.671000004,2.601999998,2.639689207,0.022565,29,0.141969204,,
v0.1-NLD.9.4_1-112427,6.076000214,2.628000021,3.697448254,1.410585046,29,1.188438177,,
v0.1-NLD.9.4_1-4730,16.67900085,11.78199959,14.95688057,1.141278625,268,-0.244519234,,
v0.1-NLD.9.4_1-92764,5.522999763,2.657000065,2.946071148,0.734733105,28,0.51209116,,
v0.1-NLD.9.4_1-106113,16.47299957,10.14599991,14.9529705,1.089398623,297,-0.2647295,,
v0.1-NLD.9.4_1-3443,16.54700089,12.51900005,14.88890553,1.137698889,297,-0.26839447,,
v0.1-NLD.9.4_1-85915,5.433000088,2.684999943,3.015296459,0.753937364,27,0.608976364,,
v0.1-NLD.9.4_1-90768,16.4659996,12.83899975,15.32188511,0.512557447,268,0.179585457,,
v0.1-NLD.9.4_1-45717,13.61100006,9.664999962,12.17476368,0.920182347,118,-0.069436073,,
v0.1-NLD.9.4_1-147075,6.418000221,2.526000023,3.948411942,1.237046242,17,1.741341829,,
v0.1-NLD.9.4_1-35791,14.51799965,10.69999981,12.39221382,1.315411091,225,-0.56408596,,
v0.1-NLD.9.4_1-161504,8.309000015,2.526000023,6.816466331,1.43469584,15,4.7029562,,
v0.1-NLD.9.4_1-114416,7.109000206,0.368999988,2.784794092,1.200353265,34,0.242304087,,
v0.1-NLD.9.4_1-59008,13.72399998,9.661000252,11.77448082,1.264203787,312,-0.501519203,,
v0.1-NLD.9.4_1-118952,2.989000082,2.723999977,2.764709711,0.045787178,31,0.202629805,,
v0.1-NLD.9.4_1-28248,15.59200001,7.563000202,12.13845539,2.731221914,22,9.515595436,,
v0.1-NLD.9.4_1-26223,13.52000046,9.755000114,12.15470219,0.927294195,131,-0.032497406,,
v0.1-NLD.9.4_1-160577,10.44400024,2.576999903,3.333363295,2.083120108,44,0.940623283,,
v0.1-NLD.9.4_1-149711,13.62899971,12.38000011,12.51848125,0.186850592,220,0.403981209,,
v0.1-NLD.9.4_1-151090,13.75800037,9.822999954,12.19905758,1.013247371,245,-0.025742531,,
